,TIME_PERIOD,AUT,BEL,BGR,CHE,CZE,DEU,DNK,EA20,ESP,EST,EU27_2020,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,LTU,LUX,LVA,NLD,NOR,POL,PRT,SVK,SVN,SWE,TUR,USA
64,2001-06,0.2,0.4,0.1,,0.1,0.1,0.1,0.1,0.3,-0.1,0.1,0.0,0.0,-0.2,0.2,0.2,0.2,0.3,2.7,0.0,-0.3,0.4,-0.5,0.4,-0.7,0.1,0.1,0.0,0.2,0.1,6.8,
65,2001-07,-0.1,-0.4,0.0,,0.1,0.0,-0.4,-0.2,-0.5,0.0,-0.1,-0.3,-0.3,-1.9,-3.4,0.0,0.3,-1.2,0.6,0.0,-0.2,-2.1,0.1,0.3,0.1,0.1,0.2,-0.1,0.8,-0.3,2.8,
66,2001-08,-0.3,0.8,0.0,,-0.1,0.1,-0.1,0.2,0.0,0.0,0.2,0.0,0.5,0.8,0.1,0.2,0.0,1.4,0.9,0.1,-0.3,2.9,0.1,0.1,-0.6,0.2,0.0,-0.1,0.2,0.7,4.8,
67,2001-09,0.1,0.1,0.0,,0.1,0.1,0.5,0.2,0.2,0.1,0.2,0.4,0.2,1.4,3.9,-1.3,0.4,0.2,1.1,0.1,0.0,0.0,0.0,0.2,0.5,0.2,0.1,0.2,0.3,0.1,4.5,
68,2001-10,0.3,0.1,0.0,,0.1,0.0,0.2,0.2,0.4,-0.1,0.2,0.3,0.4,-1.0,0.4,-0.2,0.4,0.7,0.6,0.0,-0.4,0.2,0.7,0.2,0.0,0.2,0.1,0.0,0.8,0.0,4.2,
69,2001-11,0.0,0.1,0.1,,0.0,0.3,0.0,0.1,0.2,0.3,0.1,0.3,-0.5,1.3,0.2,-0.3,0.3,0.2,0.3,0.4,0.1,0.0,0.6,0.2,0.0,0.2,0.3,-0.1,0.6,0.5,2.8,
70,2001-12,0.2,0.0,0.0,,-0.2,0.0,0.1,0.2,0.1,0.0,0.2,0.0,0.3,1.6,0.0,-0.3,0.2,0.4,1.6,0.3,-0.8,0.0,-0.7,0.5,0.1,0.1,0.3,0.0,0.4,0.6,1.3,
71,2002-01,0.5,-0.4,0.3,,0.1,0.3,-0.1,0.0,-0.3,0.3,0.0,-0.2,-0.5,-3.4,-2.8,-0.5,0.6,-2.1,0.8,0.0,0.1,-3.0,0.6,0.9,-1.1,0.1,0.9,0.0,0.6,-0.6,7.7,0.5
72,2002-02,0.1,0.6,-0.2,,-0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.4,0.0,0.9,-1.0,-0.3,0.6,1.5,0.6,0.3,0.0,3.2,0.3,0.3,1.8,0.2,0.1,0.0,0.5,0.6,1.0,-0.1
73,2002-03,0.1,0.2,0.0,,0.2,0.1,0.3,0.4,0.4,0.3,0.4,0.2,0.8,1.4,4.2,-0.3,0.3,-0.4,1.1,0.1,-0.2,0.4,-0.1,0.6,-0.2,0.2,0.2,0.2,0.2,0.1,1.0,0.1
74,2002-04,0.2,0.2,0.1,,0.0,0.0,1.0,0.2,0.6,-0.2,0.2,0.0,0.4,-1.2,0.2,-0.7,0.1,0.7,0.2,0.0,-0.3,0.2,0.1,0.5,0.1,0.1,0.2,0.1,0.6,0.3,0.6,0.1
75,2002-05,0.3,0.2,-0.1,,0.0,-0.1,0.1,0.2,0.4,0.0,0.2,0.2,0.1,0.8,0.1,-0.2,0.2,0.2,0.4,0.6,-0.1,0.1,0.3,0.2,0.2,0.0,0.0,0.2,0.2,0.1,1.2,0.0
76,2002-06,-0.1,0.2,-0.2,,0.0,0.0,0.1,0.1,0.3,0.4,0.1,-0.1,0.0,-0.8,0.2,0.2,-0.1,0.3,-0.2,0.1,0.0,0.1,-0.9,0.1,-0.3,0.0,0.3,0.2,0.6,-0.2,2.0,-0.1
77,2002-07,0.2,-0.4,-0.1,,-0.2,0.0,-0.3,-0.2,-0.7,-0.2,-0.2,-0.4,-0.3,-1.3,-3.8,-0.8,0.0,-1.6,-0.1,0.0,-0.2,-2.6,0.9,0.1,0.1,0.0,0.4,0.2,0.2,-0.4,3.6,-0.1
78,2002-08,0.1,0.6,-0.1,,-0.2,-0.1,0.1,0.1,0.0,0.0,0.1,0.2,0.4,0.4,0.0,-0.7,-0.1,1.1,-0.7,-0.1,-0.1,2.7,0.0,-0.1,-0.8,0.0,0.2,0.0,0.4,0.8,1.1,-0.4
79,2002-09,0.0,0.0,0.1,,0.0,0.1,0.2,0.2,0.4,-0.1,0.2,0.4,0.2,1.3,4.1,1.1,0.2,0.1,-1.0,0.2,-0.2,0.0,0.2,0.1,0.5,0.1,0.1,0.0,0.3,-0.1,2.9,0.0
80,2002-10,-0.1,0.2,-0.3,,-0.1,0.0,0.1,0.2,0.5,-0.1,0.2,0.4,0.4,-0.9,0.3,-0.3,0.3,-0.1,1.0,0.1,-0.1,0.4,0.0,0.1,0.1,0.0,0.3,0.4,0.2,0.5,1.0,0.0
81,2002-11,0.3,0.1,0.1,,-0.1,0.1,0.1,0.2,0.2,-0.1,0.2,0.0,-0.5,0.8,0.0,0.0,0.1,0.4,-0.5,0.6,0.0,0.3,0.6,0.0,0.1,0.1,0.2,0.1,0.8,0.2,1.9,-0.2
82,2002-12,-0.2,0.0,-0.1,,-0.1,0.0,0.1,0.1,0.4,-0.3,0.1,-0.2,0.2,1.4,0.1,0.7,-0.1,0.1,0.2,0.0,-1.0,0.1,-1.4,0.1,-0.1,0.0,0.0,0.2,0.7,-0.1,-0.4,-0.7
83,2003-01,0.4,-0.5,-0.1,,-0.1,0.1,-0.3,-0.2,-0.5,0.2,-0.2,-0.4,-0.7,-3.3,-2.4,0.0,0.2,-2.7,-0.4,0.0,0.1,-3.3,1.0,0.6,-2.0,0.0,0.7,0.2,-0.1,-0.7,1.4,0.3
84,2003-02,0.4,0.6,0.0,,-0.1,0.0,0.2,0.2,0.2,0.1,0.2,-0.3,0.5,0.6,-0.6,0.0,0.1,2.1,-0.9,0.0,-0.1,3.7,0.3,0.5,1.7,0.1,0.0,0.1,0.7,1.2,1.9,0.3
