,TIME_PERIOD,AUT,BEL,BGR,CHE,CZE,DEU,DNK,EA20,ESP,EST,EU27_2020,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,LTU,LUX,LVA,NLD,NOR,POL,PRT,SVK,SVN,SWE,TUR,USA
75,2002-05,0.1,-0.2,-0.1,,-0.2,0.0,0.1,0.0,0.2,-0.1,0.0,0.5,-0.2,0.2,0.2,0.9,0.2,-0.2,0.3,0.0,0.4,-0.1,0.3,0.0,0.0,0.0,0.3,0.0,-0.3,0.0,1.8,0.4
76,2002-06,0.0,-0.6,-0.1,,0.0,-0.3,-0.1,-0.1,0.3,0.0,0.0,0.3,-0.1,0.1,0.1,-0.2,0.1,0.7,0.0,0.0,0.0,0.3,0.4,0.0,0.1,0.0,0.3,0.0,-0.2,0.0,2.2,1.6
77,2002-07,0.0,0.6,10.0,,1.4,0.1,-0.1,0.3,0.2,0.6,0.4,0.0,0.0,0.0,0.3,0.2,0.1,-0.2,0.5,0.6,0.0,0.0,0.0,2.0,-0.1,1.3,0.4,0.0,-0.1,0.2,2.4,0.2
78,2002-08,0.1,0.1,0.0,,0.0,0.0,0.0,0.1,0.2,0.3,0.2,0.2,0.4,0.1,0.6,-0.1,0.1,0.2,1.0,0.0,-0.1,0.4,0.2,0.0,0.0,0.2,0.4,0.1,0.6,0.0,2.3,0.1
79,2002-09,0.3,0.7,0.2,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.0,0.3,3.2,0.2,0.3,0.3,0.3,0.2,1.0,0.1,0.1,1.7,0.2,0.2,0.1,1.1,0.1,3.5,0.2
80,2002-10,0.5,0.2,0.7,,-1.0,0.1,0.4,0.2,0.2,0.5,0.3,0.3,0.3,0.2,0.2,0.6,0.1,0.8,0.1,0.6,-0.3,0.9,0.2,0.2,1.1,0.3,0.0,0.0,0.4,0.3,3.0,-0.6
81,2002-11,0.2,-1.0,1.1,,0.0,-0.4,-0.3,-0.2,-0.1,-0.2,0.0,-0.4,0.1,0.0,-0.7,-0.2,0.2,-0.8,0.1,0.0,0.1,-0.4,-0.1,0.1,2.7,0.2,0.3,0.1,-0.3,0.5,2.4,0.0
82,2002-12,0.2,0.4,0.2,,0.0,0.3,0.1,0.3,0.3,0.0,0.3,0.4,0.4,0.2,1.6,0.4,0.1,0.7,1.3,0.1,-0.1,-0.7,0.1,0.0,4.7,0.0,0.1,0.0,0.4,0.8,1.2,0.3
83,2003-01,0.3,0.7,0.5,,0.2,1.2,1.2,1.1,0.8,0.4,1.2,0.7,0.6,0.1,1.2,0.6,1.1,0.3,0.8,1.0,0.1,1.1,1.3,1.7,13.1,0.6,1.5,18.8,2.0,5.0,3.0,0.7
84,2003-02,0.4,1.0,-0.2,,0.2,0.4,1.5,0.5,0.4,0.3,0.5,1.5,0.6,0.2,1.8,0.3,0.9,0.0,0.6,0.4,0.1,0.9,0.6,0.0,-2.2,0.3,0.5,0.4,0.3,2.3,1.7,0.8
85,2003-03,0.3,1.0,0.0,,0.2,0.4,0.7,0.5,0.6,0.0,0.5,0.7,0.4,0.0,1.1,0.1,2.2,2.9,0.7,0.6,0.1,1.3,0.1,0.1,-4.3,0.2,0.3,1.8,1.0,0.0,1.1,1.9
86,2003-04,-0.8,-2.4,0.1,,1.0,-0.6,-0.9,-0.5,0.1,-0.1,-0.4,-0.6,-0.8,0.6,-3.3,-0.7,0.5,1.4,-0.4,0.4,-0.1,-0.9,0.7,0.1,-4.3,0.2,0.5,0.3,0.9,-0.4,0.3,-0.3
87,2003-05,0.0,-0.5,-0.3,,0.0,-0.1,-0.5,-0.2,-0.2,-0.2,-0.1,0.3,-0.2,0.0,0.2,-0.2,0.3,-2.2,0.5,-0.1,0.5,-1.3,0.1,0.0,-2.2,-0.2,0.4,0.0,-0.2,-0.1,0.4,0.3
